sample_idx,btumor_auc,il6combo_auc,peak_il6combo,final_btumor,best_spd_pct
178,1.0130024801690222e10,444.4563537319834,406.6591516435066,5.0536980374899255e6,-99.94356343349622
179,2.435044593533826e12,169613.36206468084,7283.4613328578225,6.923095448100648e10,0.0
180,6.49223267040292e11,4284.003638452289,365.3781848532405,1.8160151323621734e6,-99.99713115844733
181,2.581849831190132e12,27901.73238968785,766.1671672661122,6.764372842583671e10,0.0
182,4.014185423827137e9,1038.2647635136284,434.14809935430304,228384.58142748388,-99.9955562795827
183,4.1672410416685104e9,892.3195518187853,24.08269539277244,3.8613380827761106e6,-99.93652919188861
184,6.212893982877895e9,5406.026389014962,3836.7836585108034,735172.4923700787,-99.982243652327
185,3.848423706996833e7,289.0680401580569,6.8360231320009515,6057.050106153004,-99.99613321299894
186,1.5672436641366595e11,246.00582439584323,124.8222066689659,1.9840383315505262e6,-99.99678044400284
187,6.513332077686217e10,115.21112536239275,5.853419001329062,3.9334465448257434e6,-99.9833310228728
188,5.4447863996809845e11,21433.601047692617,6096.041523606611,3.7997201553181104e7,-99.98489071991223
189,8.816021663047302e10,157.81246355132018,26.180772753751377,294480.4972403197,-99.99819967570797
190,2.5808579225140293e10,483.4110298243922,478.90786608860935,2.5189234554254105e6,-99.9419300830167
191,1.1501359232497311e11,57802.94603492932,6031.57763138758,2.710402227830799e7,-99.85643829475211
192,7.981672478526578e10,617.4436006730979,434.66532048670433,4.767489423123517e6,-99.97116539181314
193,5.692124678249154e10,893.3070608048739,717.34274169175,327177.5889016813,-99.99927753128553
194,1.267314741731177e12,3832.8628102052576,735.334173775242,2.7430693284159354e6,-99.99471777624167
195,8.341293055058907e8,1585.8127213416046,27.823000459100776,749106.8248328523,-99.97850937118508
196,4.2699188843875037e11,47798.92041053503,6573.384948649948,1.1109707241876669e10,0.0
197,5.9626587078999405e10,239.75062860562994,132.22434374194592,6.575898723634328e6,-99.96959590946688
198,2.7922810785496875e11,714.4794231824877,378.21149193086234,4.352634213353289e6,-99.98961382419762
199,3.974262628496329e11,4934.636274432468,1188.5785225886407,7.024174189537825e6,-99.98132725721565
200,5.0873547248794556e10,277.43066580755493,338.26775088320386,2.5080053371814555e6,-99.9829576086786
